#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   9600      2.15e+00    1.97e+00      2.92e-02    3.18e-02      7.78e-02    7.10e-02    7.5e-04
   9700      2.36e+00    2.23e+00      2.19e-02    2.28e-02      8.58e-02    8.10e-02    7.5e-04
   9800      2.25e+00    2.10e+00      6.82e-03    4.79e-03      8.23e-02    7.66e-02    7.5e-04
   9900      1.94e+00    1.99e+00      3.03e-02    2.87e-02      6.99e-02    7.20e-02    7.5e-04
  10000      1.86e+00    1.90e+00      2.01e-02    1.88e-02      7.76e-02    7.95e-02    5.6e-04
  10100      1.57e+00    1.61e+00      6.65e-03    8.53e-03      6.62e-02    6.78e-02    5.6e-04
  10200      1.85e+00    1.51e+00      1.32e-02    1.04e-02      7.78e-02    6.36e-02    5.6e-04
  10300      1.69e+00    1.79e+00      9.06e-03    1.09e-02      7.11e-02    7.52e-02    5.6e-04
  10400      1.44e+00    1.82e+00      6.78e-03    6.36e-03      6.07e-02    7.67e-02    5.6e-04
  10500      1.72e+00    1.86e+00      1.74e-02    1.59e-02      7.17e-02    7.77e-02    5.6e-04
  10600      1.64e+00    1.42e+00      1.10e-02    1.15e-02      6.87e-02    5.95e-02    5.6e-04
  10700      1.64e+00    1.82e+00      2.18e-02    2.11e-02      6.82e-02    7.57e-02    5.6e-04
  10800      1.85e+00    1.86e+00      5.79e-02    5.73e-02      7.10e-02    7.17e-02    5.6e-04
  10900      1.67e+00    1.75e+00      2.54e-03    3.49e-03      7.04e-02    7.36e-02    5.6e-04
  11000      1.82e+00    1.75e+00      1.71e-02    1.77e-02      7.59e-02    7.33e-02    5.6e-04
  11100      1.58e+00    1.77e+00      4.52e-02    3.65e-02      6.18e-02    7.21e-02    5.6e-04
  11200      1.52e+00    1.65e+00      1.75e-03    2.98e-03      6.41e-02    6.96e-02    5.6e-04
  11300      1.79e+00    1.62e+00      1.42e-02    1.63e-02      7.52e-02    6.78e-02    5.6e-04
  11400      1.75e+00    1.52e+00      7.91e-03    8.68e-03      7.34e-02    6.40e-02    5.6e-04
  11500      1.45e+00    1.76e+00      1.66e-03    1.73e-03      6.11e-02    7.42e-02    5.6e-04
