#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
 100000      8.37e-02    1.01e-01      9.58e-04    6.21e-05      4.00e-02    4.94e-02    3.2e-06
 100100      9.61e-02    8.96e-02      6.91e-04    2.40e-04      4.67e-02    4.39e-02    3.2e-06
 100200      9.64e-02    1.08e-01      1.12e-03    5.62e-04      4.60e-02    5.27e-02    3.2e-06
 100300      7.79e-02    8.69e-02      2.32e-04    6.66e-04      3.81e-02    4.21e-02    3.2e-06
 100400      8.14e-02    9.56e-02      8.04e-04    5.12e-04      3.92e-02    4.66e-02    3.2e-06
 100500      9.52e-02    9.05e-02      7.20e-05    6.21e-04      4.67e-02    4.40e-02    3.2e-06
 100600      8.84e-02    9.48e-02      6.20e-04    1.30e-03      4.30e-02    4.48e-02    3.2e-06
 100700      1.02e-01    1.06e-01      4.25e-04    1.11e-03      4.97e-02    5.09e-02    3.2e-06
 100800      1.03e-01    8.94e-02      4.90e-04    2.11e-04      5.01e-02    4.38e-02    3.2e-06
 100900      1.07e-01    9.92e-02      2.12e-03    8.39e-04      4.84e-02    4.80e-02    3.2e-06
 101000      9.17e-02    1.09e-01      5.18e-04    4.89e-07      4.47e-02    5.35e-02    3.2e-06
 101100      1.06e-01    1.03e-01      1.62e-03    1.59e-03      4.94e-02    4.81e-02    3.2e-06
 101200      9.70e-02    1.05e-01      1.01e-03    5.83e-04      4.66e-02    5.10e-02    3.2e-06
 101300      8.56e-02    9.65e-02      1.31e-03    2.07e-04      4.01e-02    4.73e-02    3.2e-06
 101400      1.04e-01    1.05e-01      1.06e-03    1.59e-03      4.97e-02    4.93e-02    3.2e-06
 101500      1.00e-01    9.76e-02      4.13e-04    8.33e-05      4.89e-02    4.78e-02    3.2e-06
 101600      9.53e-02    1.04e-01      1.43e-03    7.30e-04      4.47e-02    5.03e-02    3.2e-06
 101700      9.58e-02    1.03e-01      8.18e-04    5.24e-04      4.63e-02    5.05e-02    3.2e-06
 101800      9.93e-02    9.73e-02      4.52e-04    1.05e-03      4.85e-02    4.66e-02    3.2e-06
 101900      8.87e-02    1.02e-01      7.07e-05    4.80e-04      4.35e-02    4.99e-02    3.2e-06
 102000      7.86e-02    1.04e-01      3.99e-04    9.39e-04      3.84e-02    5.04e-02    3.2e-06
 102100      9.47e-02    9.75e-02      9.08e-05    4.75e-04      4.64e-02    4.76e-02    3.2e-06
 102200      8.79e-02    1.20e-01      1.79e-03    1.48e-03      3.95e-02    5.72e-02    3.2e-06
 102300      9.16e-02    9.61e-02      2.86e-04    3.91e-04      4.48e-02    4.70e-02    3.2e-06
 102400      1.01e-01    1.08e-01      1.19e-03    9.58e-04      4.84e-02    5.20e-02    3.2e-06
 102500      1.06e-01    1.06e-01      1.69e-03    1.05e-03      4.93e-02    5.08e-02    3.2e-06
 102600      1.11e-01    1.32e-01      2.23e-03    2.84e-03      5.02e-02    5.87e-02    3.2e-06
 102700      9.77e-02    9.80e-02      1.39e-03    1.86e-03      4.60e-02    4.46e-02    3.2e-06
 102800      9.26e-02    9.85e-02      3.70e-04    5.09e-04      4.53e-02    4.80e-02    3.2e-06
 102900      1.02e-01    1.14e-01      5.77e-04    1.13e-04      4.99e-02    5.58e-02    3.2e-06
 103000      9.42e-02    9.07e-02      2.09e-04    2.88e-04      4.61e-02    4.44e-02    3.2e-06
 103100      1.09e-01    9.61e-02      1.13e-03    6.80e-04      5.22e-02    4.67e-02    3.2e-06
 103200      1.09e-01    1.05e-01      2.72e-03    2.46e-03      4.65e-02    4.59e-02    3.2e-06
 103300      1.06e-01    1.04e-01      1.73e-04    8.94e-04      5.21e-02    5.02e-02    3.2e-06
 103400      9.69e-02    1.10e-01      6.11e-04    5.13e-04      4.71e-02    5.37e-02    3.2e-06
 103500      9.82e-02    9.82e-02      9.89e-04    6.12e-05      4.72e-02    4.82e-02    3.2e-06
 103600      9.40e-02    1.14e-01      4.64e-04    7.53e-05      4.59e-02    5.58e-02    3.2e-06
 103700      1.02e-01    1.03e-01      6.54e-04    1.76e-05      4.95e-02    5.06e-02    3.2e-06
 103800      1.04e-01    9.93e-02      2.65e-04    7.84e-04      5.09e-02    4.81e-02    3.2e-06
 103900      1.07e-01    8.04e-02      5.85e-04    5.44e-04      5.23e-02    3.91e-02    3.2e-06
 104000      7.18e-02    9.48e-02      6.46e-04    4.06e-04      3.47e-02    4.63e-02    3.2e-06
 104100      1.17e-01    9.69e-02      4.64e-04    4.15e-04      5.70e-02    4.73e-02    3.2e-06
 104200      1.02e-01    1.10e-01      2.32e-04    2.32e-04      4.97e-02    5.36e-02    3.2e-06
 104300      9.22e-02    1.05e-01      5.75e-04    2.25e-04      4.49e-02    5.12e-02    3.2e-06
 104400      9.63e-02    1.04e-01      3.55e-04    1.09e-03      4.71e-02    5.01e-02    3.2e-06
 104500      1.04e-01    9.48e-02      1.61e-04    5.77e-04      5.09e-02    4.61e-02    3.2e-06
 104600      7.96e-02    8.30e-02      1.21e-03    3.97e-04      3.73e-02    4.05e-02    3.2e-06
 104700      8.86e-02    1.09e-01      2.16e-04    4.21e-04      4.34e-02    5.32e-02    3.2e-06
 104800      1.11e-01    9.96e-02      2.85e-03    6.74e-04      4.69e-02    4.84e-02    3.2e-06
 104900      1.06e-01    1.02e-01      1.45e-03    1.71e-03      4.99e-02    4.70e-02    3.2e-06
 105000      9.51e-02    8.15e-02      1.03e-03    1.05e-03      5.06e-02    4.30e-02    2.4e-06
 105100      8.52e-02    8.95e-02      8.33e-05    1.91e-04      4.64e-02    4.87e-02    2.4e-06
 105200      1.11e-01    9.62e-02      2.32e-03    7.47e-04      5.50e-02    5.18e-02    2.4e-06
 105300      9.40e-02    9.86e-02      1.30e-03    9.46e-04      4.93e-02    5.28e-02    2.4e-06
 105400      9.27e-02    8.54e-02      1.02e-03    2.84e-04      4.93e-02    4.64e-02    2.4e-06
 105500      8.17e-02    8.62e-02      7.97e-04    4.54e-04      4.37e-02    4.67e-02    2.4e-06
 105600      1.08e-01    8.62e-02      3.06e-04    3.51e-04      5.87e-02    4.68e-02    2.4e-06
 105700      8.64e-02    9.48e-02      9.84e-04    1.17e-03      4.59e-02    5.01e-02    2.4e-06
 105800      8.40e-02    7.53e-02      3.98e-04    3.57e-04      4.56e-02    4.09e-02    2.4e-06
 105900      9.09e-02    9.60e-02      1.55e-03    7.58e-04      4.67e-02    5.17e-02    2.4e-06
 106000      9.52e-02    8.80e-02      1.45e-03    3.45e-04      4.95e-02    4.78e-02    2.4e-06
 106100      8.93e-02    1.01e-01      4.32e-04    1.43e-03      4.85e-02    5.27e-02    2.4e-06
 106200      9.86e-02    8.00e-02      1.19e-03    1.72e-04      5.22e-02    4.35e-02    2.4e-06
 106300      8.82e-02    8.64e-02      2.14e-04    9.28e-04      4.80e-02    4.60e-02    2.4e-06
 106400      8.13e-02    8.86e-02      1.06e-03    8.21e-04      4.29e-02    4.75e-02    2.4e-06
 106500      9.55e-02    7.59e-02      5.67e-04    1.43e-04      5.17e-02    4.13e-02    2.4e-06
 106600      8.63e-02    8.87e-02      8.66e-04    6.99e-04      4.61e-02    4.78e-02    2.4e-06
 106700      9.97e-02    9.68e-02      1.17e-03    1.44e-03      5.28e-02    5.05e-02    2.4e-06
 106800      8.47e-02    7.86e-02      4.10e-04    6.15e-04      4.59e-02    4.23e-02    2.4e-06
 106900      9.42e-02    8.39e-02      8.17e-04    6.66e-04      5.06e-02    4.52e-02    2.4e-06
 107000      8.63e-02    1.06e-01      5.68e-04    1.81e-04      4.66e-02    5.77e-02    2.4e-06
 107100      8.12e-02    1.13e-01      4.16e-04    8.13e-04      4.40e-02    6.10e-02    2.4e-06
 107200      8.84e-02    8.18e-02      1.25e-05    9.07e-04      4.82e-02    4.35e-02    2.4e-06
 107300      9.47e-02    9.08e-02      2.96e-04    5.44e-04      5.15e-02    4.91e-02    2.4e-06
 107400      8.86e-02    1.05e-01      7.94e-04    1.17e-03      4.75e-02    5.58e-02    2.4e-06
 107500      1.02e-01    9.80e-02      2.35e-03    6.49e-04      4.99e-02    5.29e-02    2.4e-06
 107600      9.72e-02    8.78e-02      3.66e-04    4.76e-04      5.28e-02    4.76e-02    2.4e-06
 107700      1.00e-01    9.77e-02      8.81e-04    1.43e-03      5.37e-02    5.10e-02    2.4e-06
 107800      9.46e-02    8.65e-02      6.98e-04    1.47e-03      5.10e-02    4.45e-02    2.4e-06
 107900      8.88e-02    1.05e-01      5.24e-04    4.58e-04      4.81e-02    5.68e-02    2.4e-06
 108000      8.81e-02    8.00e-02      1.43e-04    5.17e-04      4.80e-02    4.32e-02    2.4e-06
 108100      1.06e-01    9.12e-02      2.32e-03    5.09e-04      5.24e-02    4.94e-02    2.4e-06
 108200      1.00e-01    8.56e-02      3.52e-04    8.70e-04      5.44e-02    4.57e-02    2.4e-06
 108300      8.50e-02    8.79e-02      4.89e-04    7.27e-04      4.60e-02    4.73e-02    2.4e-06
 108400      8.75e-02    6.57e-02      8.62e-04    1.25e-04      4.68e-02    3.58e-02    2.4e-06
 108500      1.02e-01    7.62e-02      5.11e-04    1.74e-04      5.52e-02    4.15e-02    2.4e-06
 108600      8.51e-02    8.61e-02      4.16e-04    2.49e-04      4.62e-02    4.68e-02    2.4e-06
 108700      7.82e-02    8.83e-02      7.22e-04    4.39e-04      4.19e-02    4.79e-02    2.4e-06
 108800      9.93e-02    9.79e-02      9.17e-04    6.14e-04      5.32e-02    5.29e-02    2.4e-06
 108900      8.55e-02    9.20e-02      9.69e-04    1.61e-04      4.54e-02    5.01e-02    2.4e-06
 109000      7.98e-02    7.58e-02      8.07e-05    1.77e-04      4.35e-02    4.13e-02    2.4e-06
 109100      6.36e-02    8.81e-02      1.17e-04    1.58e-04      3.46e-02    4.80e-02    2.4e-06
 109200      6.93e-02    9.38e-02      1.04e-03    4.52e-04      3.61e-02    5.09e-02    2.4e-06
 109300      8.06e-02    8.44e-02      1.15e-03    7.86e-04      4.22e-02    4.52e-02    2.4e-06
 109400      8.80e-02    8.87e-02      7.36e-04    4.30e-04      4.73e-02    4.81e-02    2.4e-06
 109500      9.19e-02    9.40e-02      2.11e-04    1.38e-04      5.00e-02    5.12e-02    2.4e-06
 109600      7.29e-02    8.65e-02      8.51e-05    2.42e-05      3.97e-02    4.71e-02    2.4e-06
 109700      8.83e-02    8.69e-02      4.90e-04    6.38e-04      4.78e-02    4.68e-02    2.4e-06
 109800      7.69e-02    7.62e-02      1.06e-03    5.18e-04      4.03e-02    4.11e-02    2.4e-06
 109900      8.44e-02    7.72e-02      1.08e-03    5.32e-04      4.46e-02    4.17e-02    2.4e-06
 110000      8.20e-02    9.13e-02      3.60e-04    1.16e-03      4.91e-02    5.30e-02    1.8e-06
 110100      9.07e-02    7.90e-02      8.13e-04    4.32e-04      5.36e-02    4.71e-02    1.8e-06
 110200      8.38e-02    6.82e-02      7.81e-04    6.96e-04      4.95e-02    4.01e-02    1.8e-06
 110300      9.41e-02    8.64e-02      1.06e-03    9.55e-04      5.51e-02    5.06e-02    1.8e-06
 110400      8.47e-02    8.72e-02      5.00e-05    8.86e-04      5.08e-02    5.13e-02    1.8e-06
 110500      8.46e-02    6.84e-02      1.00e-03    1.27e-04      4.94e-02    4.10e-02    1.8e-06
 110600      8.19e-02    7.68e-02      2.09e-04    7.88e-04      4.91e-02    4.52e-02    1.8e-06
 110700      7.79e-02    6.67e-02      4.48e-07    6.15e-04      4.68e-02    3.94e-02    1.8e-06
 110800      8.43e-02    8.27e-02      1.26e-03    9.30e-04      4.84e-02    4.84e-02    1.8e-06
 110900      6.10e-02    8.04e-02      1.51e-03    3.99e-04      3.20e-02    4.80e-02    1.8e-06
 111000      7.50e-02    8.79e-02      3.50e-04    7.32e-04      4.48e-02    5.20e-02    1.8e-06
 111100      8.62e-02    8.70e-02      1.30e-04    7.03e-05      5.17e-02    5.22e-02    1.8e-06
 111200      8.48e-02    9.11e-02      1.19e-03    1.33e-03      4.89e-02    5.24e-02    1.8e-06
 111300      8.98e-02    1.07e-01      8.17e-04    4.44e-04      5.31e-02    6.41e-02    1.8e-06
 111400      8.53e-02    7.65e-02      1.59e-04    1.61e-04      5.12e-02    4.59e-02    1.8e-06
 111500      8.38e-02    8.50e-02      4.26e-04    1.37e-03      5.00e-02    4.84e-02    1.8e-06
 111600      8.35e-02    7.10e-02      1.04e-03    2.56e-05      4.86e-02    4.26e-02    1.8e-06
 111700      7.81e-02    9.15e-02      9.65e-04    1.46e-03      4.55e-02    5.22e-02    1.8e-06
 111800      8.28e-02    8.36e-02      2.81e-04    6.12e-04      4.96e-02    4.96e-02    1.8e-06
 111900      8.64e-02    8.70e-02      1.32e-03    4.88e-04      4.95e-02    5.19e-02    1.8e-06
 112000      7.91e-02    8.16e-02      1.30e-04    4.34e-04      4.74e-02    4.87e-02    1.8e-06
 112100      8.44e-02    8.43e-02      2.04e-04    5.46e-04      5.06e-02    5.02e-02    1.8e-06
 112200      6.95e-02    8.10e-02      6.97e-04    1.17e-04      4.09e-02    4.86e-02    1.8e-06
 112300      8.95e-02    8.61e-02      2.93e-04    1.07e-03      5.36e-02    5.01e-02    1.8e-06
 112400      7.66e-02    9.47e-02      5.96e-04    5.47e-04      4.55e-02    5.65e-02    1.8e-06
 112500      9.85e-02    8.33e-02      2.89e-05    2.58e-04      5.91e-02    4.99e-02    1.8e-06
 112600      7.87e-02    7.63e-02      1.14e-04    3.76e-04      4.72e-02    4.55e-02    1.8e-06
 112700      8.70e-02    9.90e-02      6.79e-05    1.07e-03      5.22e-02    5.80e-02    1.8e-06
 112800      8.75e-02    8.44e-02      1.66e-03    9.72e-05      4.88e-02    5.06e-02    1.8e-06
 112900      8.49e-02    8.24e-02      8.43e-06    1.85e-04      5.10e-02    4.94e-02    1.8e-06
 113000      6.42e-02    8.36e-02      8.60e-06    1.55e-04      3.85e-02    5.02e-02    1.8e-06
 113100      7.69e-02    9.41e-02      1.07e-04    4.42e-04      4.61e-02    5.63e-02    1.8e-06
 113200      8.56e-02    7.99e-02      8.80e-04    4.09e-04      5.03e-02    4.77e-02    1.8e-06
 113300      8.74e-02    8.11e-02      1.30e-03    8.07e-04      5.02e-02    4.78e-02    1.8e-06
 113400      8.18e-02    6.95e-02      9.50e-04    2.09e-04      4.78e-02    4.17e-02    1.8e-06
 113500      9.25e-02    8.55e-02      1.39e-03    1.44e-03      5.31e-02    4.85e-02    1.8e-06
 113600      6.14e-02    9.44e-02      1.79e-04    3.60e-04      3.68e-02    5.65e-02    1.8e-06
 113700      7.05e-02    7.90e-02      4.44e-04    8.70e-04      4.20e-02    4.63e-02    1.8e-06
 113800      8.24e-02    8.18e-02      1.23e-03    4.94e-06      4.73e-02    4.91e-02    1.8e-06
 113900      9.01e-02    8.27e-02      1.20e-03    5.13e-04      5.22e-02    4.92e-02    1.8e-06
 114000      8.47e-02    8.01e-02      4.15e-05    1.29e-04      5.08e-02    4.80e-02    1.8e-06
 114100      6.28e-02    8.92e-02      2.62e-05    8.22e-04      3.77e-02    5.27e-02    1.8e-06
 114200      7.91e-02    8.15e-02      6.87e-04    1.48e-03      4.68e-02    4.57e-02    1.8e-06
 114300      8.17e-02    6.15e-02      4.86e-04    2.04e-04      4.87e-02    3.68e-02    1.8e-06
 114400      8.29e-02    8.25e-02      8.11e-04    3.00e-04      4.88e-02    4.94e-02    1.8e-06
 114500      9.01e-02    9.13e-02      1.49e-03    7.24e-04      5.12e-02    5.41e-02    1.8e-06
 114600      8.86e-02    6.59e-02      6.67e-04    2.33e-04      5.26e-02    3.94e-02    1.8e-06
 114700      7.89e-02    8.15e-02      7.66e-04    1.18e-03      4.65e-02    4.69e-02    1.8e-06
 114800      8.38e-02    8.22e-02      8.53e-04    1.32e-03      4.93e-02    4.68e-02    1.8e-06
 114900      8.13e-02    8.47e-02      5.43e-04    1.16e-03      4.84e-02    4.90e-02    1.8e-06
 115000      7.43e-02    7.14e-02      1.24e-03    1.48e-03      4.60e-02    4.27e-02    1.3e-06
 115100      7.49e-02    7.46e-02      9.85e-04    2.80e-05      4.74e-02    4.88e-02    1.3e-06
 115200      5.94e-02    7.64e-02      8.33e-04    5.99e-04      3.74e-02    4.94e-02    1.3e-06
 115300      6.58e-02    7.77e-02      4.26e-04    2.84e-05      4.27e-02    5.09e-02    1.3e-06
 115400      8.28e-02    6.53e-02      2.86e-04    5.57e-04      5.41e-02    4.22e-02    1.3e-06
 115500      8.09e-02    8.36e-02      9.91e-04    1.55e-04      5.14e-02    5.47e-02    1.3e-06
 115600      7.18e-02    6.98e-02      5.88e-05    6.47e-05      4.70e-02    4.57e-02    1.3e-06
 115700      7.38e-02    7.35e-02      2.41e-04    1.59e-04      4.82e-02    4.81e-02    1.3e-06
 115800      5.87e-02    7.66e-02      1.76e-04    3.97e-05      3.83e-02    5.02e-02    1.3e-06
 115900      7.14e-02    7.71e-02      2.27e-04    1.03e-03      4.67e-02    4.88e-02    1.3e-06
 116000      8.32e-02    7.68e-02      6.12e-04    3.08e-04      5.39e-02    5.01e-02    1.3e-06
 116100      7.09e-02    6.09e-02      7.38e-04    1.09e-03      4.55e-02    3.74e-02    1.3e-06
 116200      8.59e-02    7.18e-02      2.32e-04    9.53e-06      5.62e-02    4.70e-02    1.3e-06
 116300      8.02e-02    7.47e-02      1.01e-03    8.92e-04      5.09e-02    4.76e-02    1.3e-06
 116400      8.68e-02    7.40e-02      9.08e-04    2.36e-04      5.56e-02    4.84e-02    1.3e-06
 116500      5.35e-02    7.50e-02      1.36e-04    4.99e-04      3.50e-02    4.87e-02    1.3e-06
 116600      7.84e-02    7.06e-02      5.70e-04    3.01e-04      5.08e-02    4.61e-02    1.3e-06
 116700      7.67e-02    7.59e-02      4.54e-04    3.62e-04      4.99e-02    4.95e-02    1.3e-06
 116800      7.76e-02    6.77e-02      3.73e-04    2.65e-04      5.06e-02    4.42e-02    1.3e-06
 116900      6.30e-02    7.75e-02      5.46e-04    2.09e-04      4.07e-02    5.07e-02    1.3e-06
 117000      7.51e-02    7.17e-02      1.86e-04    7.98e-04      4.91e-02    4.58e-02    1.3e-06
 117100      7.79e-02    7.83e-02      3.07e-04    1.16e-03      5.09e-02    4.91e-02    1.3e-06
 117200      6.79e-02    7.25e-02      5.42e-04    3.02e-04      4.39e-02    4.73e-02    1.3e-06
 117300      6.17e-02    7.85e-02      7.94e-04    1.01e-04      3.91e-02    5.14e-02    1.3e-06
 117400      7.40e-02    7.55e-02      4.27e-04    1.03e-03      4.81e-02    4.76e-02    1.3e-06
 117500      7.98e-02    8.26e-02      1.40e-03    5.68e-04      4.91e-02    5.36e-02    1.3e-06
 117600      7.52e-02    6.53e-02      9.13e-04    1.27e-03      4.79e-02    3.95e-02    1.3e-06
 117700      7.95e-02    7.65e-02      1.89e-04    1.32e-03      5.20e-02    4.71e-02    1.3e-06
 117800      7.66e-02    7.48e-02      1.14e-03    9.48e-04      4.79e-02    4.74e-02    1.3e-06
 117900      8.78e-02    7.52e-02      1.70e-03    1.18e-03      5.32e-02    4.69e-02    1.3e-06
 118000      1.02e-01    6.30e-02      4.68e-05    7.89e-04      6.70e-02    4.00e-02    1.3e-06
 118100      8.14e-02    7.66e-02      1.22e-03    7.68e-05      5.10e-02    5.02e-02    1.3e-06
 118200      7.64e-02    7.70e-02      6.24e-04    1.29e-03      4.94e-02    4.76e-02    1.3e-06
 118300      8.10e-02    7.93e-02      8.44e-04    5.17e-04      5.19e-02    5.15e-02    1.3e-06
 118400      7.54e-02    7.51e-02      4.62e-04    9.39e-04      4.90e-02    4.77e-02    1.3e-06
 118500      7.36e-02    8.11e-02      2.35e-04    4.58e-04      4.81e-02    5.28e-02    1.3e-06
 118600      7.27e-02    7.01e-02      6.99e-04    7.86e-04      4.67e-02    4.48e-02    1.3e-06
 118700      8.06e-02    7.11e-02      2.64e-04    2.29e-04      5.26e-02    4.64e-02    1.3e-06
 118800      7.75e-02    7.44e-02      8.99e-04    2.98e-04      4.94e-02    4.86e-02    1.3e-06
 118900      7.85e-02    8.65e-02      1.13e-03    4.02e-04      4.93e-02    5.64e-02    1.3e-06
 119000      7.56e-02    7.58e-02      7.46e-04    2.54e-04      4.86e-02    4.95e-02    1.3e-06
 119100      7.76e-02    7.70e-02      1.52e-03    2.71e-04      4.70e-02    5.03e-02    1.3e-06
 119200      7.35e-02    7.54e-02      3.42e-04    9.58e-04      4.79e-02    4.78e-02    1.3e-06
 119300      6.89e-02    7.30e-02      5.12e-04    7.15e-04      4.46e-02    4.69e-02    1.3e-06
 119400      7.71e-02    8.02e-02      6.36e-04    9.90e-04      4.98e-02    5.09e-02    1.3e-06
 119500      6.96e-02    7.06e-02      1.52e-04    2.59e-05      4.55e-02    4.62e-02    1.3e-06
 119600      6.76e-02    5.89e-02      1.44e-03    1.44e-03      4.02e-02    3.39e-02    1.3e-06
 119700      6.81e-02    7.35e-02      6.07e-04    5.84e-04      4.39e-02    4.75e-02    1.3e-06
 119800      6.77e-02    7.55e-02      5.56e-04    6.91e-05      4.38e-02    4.94e-02    1.3e-06
 119900      6.52e-02    8.11e-02      5.50e-04    7.81e-04      4.21e-02    5.22e-02    1.3e-06
 120000      6.59e-02    7.13e-02      4.11e-04    4.67e-04      4.63e-02    5.00e-02    1.0e-06
 120100      7.39e-02    7.54e-02      3.86e-04    1.49e-03      5.20e-02    4.92e-02    1.0e-06
 120200      7.81e-02    6.52e-02      4.36e-04    4.11e-04      5.49e-02    4.58e-02    1.0e-06
 120300      6.10e-02    7.13e-02      2.56e-04    8.38e-04      4.30e-02    4.90e-02    1.0e-06
 120400      7.88e-02    6.90e-02      1.42e-03    1.01e-04      5.22e-02    4.88e-02    1.0e-06
 120500      6.67e-02    6.60e-02      1.09e-04    2.83e-04      4.72e-02    4.65e-02    1.0e-06
 120600      7.14e-02    6.25e-02      7.98e-04    6.04e-04      4.93e-02    4.34e-02    1.0e-06
 120700      8.11e-02    6.40e-02      6.70e-04    3.53e-04      5.66e-02    4.50e-02    1.0e-06
 120800      7.47e-02    6.56e-02      4.12e-04    7.04e-04      5.25e-02    4.53e-02    1.0e-06
 120900      6.64e-02    7.45e-02      6.81e-04    1.89e-04      4.60e-02    5.26e-02    1.0e-06
 121000      5.54e-02    7.53e-02      3.16e-04    6.09e-04      3.89e-02    5.26e-02    1.0e-06
 121100      6.76e-02    7.57e-02      6.57e-04    4.99e-04      4.69e-02    5.31e-02    1.0e-06
 121200      6.70e-02    6.72e-02      1.30e-03    7.41e-05      4.38e-02    4.75e-02    1.0e-06
 121300      6.49e-02    8.39e-02      2.71e-04    1.11e-03      4.57e-02    5.73e-02    1.0e-06
 121400      7.69e-02    7.76e-02      3.11e-04    1.18e-05      5.42e-02    5.49e-02    1.0e-06
 121500      7.16e-02    7.19e-02      9.11e-04    8.84e-04      4.91e-02    4.94e-02    1.0e-06
 121600      6.93e-02    7.08e-02      1.21e-03    4.80e-04      4.61e-02    4.96e-02    1.0e-06
 121700      6.68e-02    6.45e-02      1.64e-04    2.31e-04      4.72e-02    4.55e-02    1.0e-06
 121800      6.63e-02    6.14e-02      5.66e-04    2.28e-04      4.63e-02    4.33e-02    1.0e-06
 121900      8.22e-02    6.78e-02      6.22e-04    1.14e-04      5.75e-02    4.79e-02    1.0e-06
 122000      6.07e-02    4.95e-02      8.80e-04    4.13e-04      4.11e-02    3.45e-02    1.0e-06
 122100      7.77e-02    7.15e-02      1.25e-03    4.93e-04      5.22e-02    5.01e-02    1.0e-06
 122200      5.97e-02    6.96e-02      4.43e-04    1.62e-05      4.17e-02    4.92e-02    1.0e-06
 122300      6.74e-02    6.50e-02      3.42e-04    1.82e-04      4.74e-02    4.59e-02    1.0e-06
 122400      7.07e-02    6.54e-02      6.42e-04    3.61e-04      4.92e-02    4.60e-02    1.0e-06
 122500      7.04e-02    6.66e-02      1.22e-04    5.88e-04      4.98e-02    4.64e-02    1.0e-06
 122600      7.24e-02    6.77e-02      3.19e-04    3.37e-04      5.10e-02    4.76e-02    1.0e-06
 122700      6.79e-02    7.11e-02      8.02e-04    4.96e-04      4.67e-02    4.98e-02    1.0e-06
 122800      6.91e-02    6.61e-02      4.98e-04    9.03e-05      4.84e-02    4.67e-02    1.0e-06
 122900      6.67e-02    7.39e-02      1.17e-04    5.13e-04      4.72e-02    5.18e-02    1.0e-06
 123000      6.88e-02    7.01e-02      2.45e-04    1.88e-05      4.86e-02    4.96e-02    1.0e-06
 123100      7.19e-02    6.49e-02      9.96e-04    1.92e-04      4.89e-02    4.58e-02    1.0e-06
 123200      6.34e-02    7.74e-02      8.23e-04    1.13e-04      4.34e-02    5.47e-02    1.0e-06
 123300      7.89e-02    6.56e-02      1.59e-03    1.03e-06      5.13e-02    4.64e-02    1.0e-06
 123400      7.12e-02    7.04e-02      2.18e-04    1.39e-05      5.02e-02    4.98e-02    1.0e-06
 123500      6.91e-02    7.18e-02      1.37e-03    2.43e-04      4.50e-02    5.07e-02    1.0e-06
 123600      7.41e-02    7.38e-02      3.98e-06    7.26e-04      5.24e-02    5.12e-02    1.0e-06
 123700      7.23e-02    6.35e-02      7.83e-04    3.01e-04      5.00e-02    4.47e-02    1.0e-06
 123800      7.32e-02    7.10e-02      4.72e-04    3.60e-04      5.14e-02    5.00e-02    1.0e-06
 123900      8.50e-02    6.53e-02      5.23e-04    8.28e-05      5.97e-02    4.61e-02    1.0e-06
 124000      7.60e-02    6.77e-02      1.60e-03    2.39e-04      4.90e-02    4.78e-02    1.0e-06
 124100      6.61e-02    6.75e-02      9.66e-04    5.55e-04      4.48e-02    4.71e-02    1.0e-06
 124200      7.50e-02    7.66e-02      1.59e-03    3.10e-04      4.83e-02    5.40e-02    1.0e-06
 124300      6.86e-02    6.94e-02      5.90e-04    3.69e-04      4.78e-02    4.88e-02    1.0e-06
 124400      7.22e-02    7.44e-02      6.81e-04    1.41e-04      5.02e-02    5.26e-02    1.0e-06
 124500      7.58e-02    6.94e-02      3.34e-04    1.18e-04      5.34e-02    4.91e-02    1.0e-06
 124600      5.30e-02    5.18e-02      3.52e-04    1.53e-04      3.72e-02    3.66e-02    1.0e-06
 124700      7.89e-02    7.24e-02      9.78e-04    5.11e-05      5.41e-02    5.12e-02    1.0e-06
 124800      6.96e-02    7.30e-02      7.38e-04    1.48e-03      4.81e-02    4.74e-02    1.0e-06
 124900      7.32e-02    6.77e-02      5.42e-04    5.42e-04      5.12e-02    4.73e-02    1.0e-06
 125000      6.27e-02    7.49e-02      2.52e-05    8.28e-05      4.74e-02    5.66e-02    7.5e-07
 125100      6.22e-02    7.42e-02      1.28e-04    1.52e-03      4.70e-02    5.13e-02    7.5e-07
 125200      6.88e-02    6.68e-02      7.96e-04    6.39e-04      5.07e-02    4.96e-02    7.5e-07
 125300      6.71e-02    6.37e-02      6.56e-04    5.29e-04      4.98e-02    4.76e-02    7.5e-07
 125400      6.67e-02    6.30e-02      3.42e-05    8.22e-04      5.04e-02    4.61e-02    7.5e-07
 125500      5.78e-02    6.06e-02      8.98e-04    7.13e-04      4.16e-02    4.46e-02    7.5e-07
 125600      7.33e-02    6.06e-02      1.31e-03    7.14e-04      5.20e-02    4.46e-02    7.5e-07
 125700      7.81e-02    6.13e-02      1.08e-03    2.41e-06      5.68e-02    4.64e-02    7.5e-07
 125800      7.13e-02    6.81e-02      6.37e-04    4.98e-04      5.31e-02    5.10e-02    7.5e-07
 125900      6.90e-02    6.45e-02      1.24e-03    2.13e-04      4.88e-02    4.87e-02    7.5e-07
 126000      7.38e-02    6.89e-02      3.31e-04    7.39e-04      5.56e-02    5.09e-02    7.5e-07
 126100      5.76e-02    6.96e-02      2.67e-05    3.07e-04      4.36e-02    5.24e-02    7.5e-07
 126200      6.88e-02    6.31e-02      7.38e-05    4.75e-05      5.20e-02    4.77e-02    7.5e-07
